Location,LocationResultCount,Latitude,Longitude,URL,ImageURL,Title
"Tjokro, Jawa Tengah, Indonesia",1,-7.4078,110.2940,"https://www.broadwayworld.com/indonesia/article/Review-The-Political-Epic-Polarisasi-Returns-with-Renewed-Artistic-Direction-20241206","https://cloudimages.broadwayworld.com/columnpiccloud/Review-POLARISASI-at-GRAHA-BHAKTI-BUDAYA-1733457695.jpg","Review : The Political Epic ' Polarisasi ' Returns with Renewed Artistic Direction"
"Mandiri, Jawa Tengah, Indonesia",1,-7.4136,109.4960,"https://www.rttnews.com/story.aspx?Id=3495452","","Indonesia Bourse May Give Up Support At 7 , 300 Points"
"Mlati, Jawa Timur, Indonesia",1,-7.4554,112.6190,"https://www.krjogja.com/olahraga/1245395575/sembada-run-yogyakarta-berhadiah-rp-18-juta-digelar-14-desember","https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p2/124/2024/12/06/SEMBADA31-3426423232.jpg","Sembada Run Yogyakarta Berhadiah Rp 18 Juta , Digelar 14 Desember"
"Sigit, Jawa Timur, Indonesia",1,-7.4656,112.5950,"https://elshinta.com/news/356539/2024/12/07/perkuat-organisasi-sebagai-state-organ-peradi-gelar-rakernas-di-bali","https://elshinta.com/asset/upload/article/2024/desember/4649_ELSHINTADOTCOM_20241206_untitled.jpg","Perkuat organisasi sebagai state organ , Peradi gelar rakernas di Bali"
"Purabaya, Jawa Barat, Indonesia",1,-7.4823,107.9630,"https://jabar.pikiran-rakyat.com/nasional/pr-3658851328/temui-warga-terisolasi-di-kecamatan-purabaya-pemerintah-percepat-relokasi-rumah-layak-huni","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/134213696.jpg","Temui Warga Terisolasi di Kecamatan Purabaya , Pemerintah Percepat Relokasi Rumah Layak Huni"
"Banyumas, Jawa Tengah, Indonesia",1,-7.5142,109.2940,"https://lensabanyumas.pikiran-rakyat.com/banyumas-raya/pr-248850104/truk-mogok-di-perlintasan-sebidang-antara-kebasen-notog-sejumlah-kereta-alami-keterlambatan","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/1649583632.jpg","Truk Mogok di Perlintasan Sebidang antara Kebasen - Notog , Sejumlah Kereta Alami Keterlambatan"
"Gerung, Jawa Timur, Indonesia",1,-7.5190,111.5710,"https://malang-post.com/2024/12/06/kota-batu-tuan-rumah-pertemuan-kades-terbaik-di-indonesia/","https://malang-post.com/wp-content/uploads/2024/12/46d8550e-8ef4-4272-8cfa-676bfcb66478.jpeg","malang - post . com - Kota Batu Tuan Rumah Pertemuan Kades Terbaik di Indonesia"
"Mount Merapi, Indonesia (General), Indonesia",1,-7.5406,110.4470,"https://aninews.in/news/business/indonesian-ministry-of-tourism-promotes-the-wonders-of-indonesia-lombok-and-central-java20241206183545/","https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20241206130515.jpg","Indonesian Ministry of Tourism Promotes the Wonders of Indonesia : Lombok and Central Java"
"Pentingsari, Yogyakarta, Indonesia",1,-7.6403,110.4310,"https://jogjapolitan.harianjogja.com/read/2024/12/06/510/1197152/kampung-dan-desa-wisata-didorong-untuk-menerapkan-pariwisata-berkelanjutan-untuk-menarik-wisatawan","","Kampung dan Desa Wisata Didorong untuk Menerapkan Pariwisata Berkelanjutan untuk Menarik Wisatawan"
"Gumiwang, Jawa Tengah, Indonesia",1,-7.6728,109.6170,"https://www.liputan6.com/news/read/5822736/depan-pengusaha-dan-investor-jepang-prabowo-sampaikan-rasa-optimis-akan-potensi-indonesia","https://cdn0-production-images-kly.akamaized.net/0wZtE7BeqPiekRVdqxTBc_u1cfc=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5038756/original/063360500_1733478372-IMG-20241206-WA0048.jpg","Depan Pengusaha dan Investor Jepang , Prabowo Sampaikan Rasa Optimis Akan Potensi Indonesia"
"Kahuripan, Jawa Timur, Indonesia",1,-7.7024,111.6990,"https://kabartasikmalaya.pikiran-rakyat.com/kabar-tasikmalaya/pr-3258849549/punya-potensi-besar-lawson-akhirnya-buka-gerai-baru-di-tasikmalaya","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/3752416108.jpg","Punya Potensi Besar , Lawson Akhirnya Buka Gerai Baru di Tasikmalaya"
"Be Dean, Yogyakarta, Indonesia",1,-7.7231,110.3250,"https://www.liputan6.com/bisnis/read/5823078/anwar-nasution-raih-penghargaan-wirakarya-adhitama-dari-ui","https://cdn1-production-images-kly.akamaized.net/gvXSxwWqUygMPVynjbhzgpxH_Rw=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5039101/original/093216100_1733497369-WhatsApp_Image_2024-12-06_at_1.08.06_PM.jpeg","Anwar Nasution Raih Penghargaan Wirakarya Adhitama dari UI"
"Ketu, Jawa Timur, Indonesia",1,-7.7361,111.3140,"https://www.krjogja.com/yogyakarta/1245394508/ilham-habibie-sah-menjadi-ketum-pii-periode-2024-2027","https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p2/124/2024/12/06/IMG_20241206_28721-3609888000.jpg","Ilham Habibie Sah Menjadi Ketum PII Periode 2024 - 2027"
"Donorejo, Jawa Timur, Indonesia",1,-7.7691,112.7480,"https://regional.kompas.com/read/2024/12/06/172616078/sempat-melarikan-diri-kajati-jateng-tangkap-buron-korupsi-perumnas-di-demak","https://asset.kompas.com/crops/kyzvfZbbDiUF59MJG3k2MZHkjYU=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2024/12/06/6752c18a08a5b.jpg","Sempat Melarikan Diri , Kajati Jateng Tangkap Buron Korupsi Perumnas di Demak , Bagaimana Ceritanya ?"
"Sunan, Jawa Tengah, Indonesia",1,-7.7908,110.8910,"https://kepri.pikiran-rakyat.com/pendidikan/pr-2688849496/kampus-terbaik-di-jawa-barat-2024-21-unggul-41-terakreditasi-b","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/672320726.jpg","Kampus Terbaik di Jawa Barat 2024 : 21 Unggul , 41 Terakreditasi B"
"Kajoran, Yogyakarta, Indonesia",1,-7.7986,110.1270,"https://www.krjogja.com/kedu/1245395112/ketua-dprd-kabupaten-magelang-bertekad-tingkatkan-pembangunan","https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p2/124/2024/12/06/m-tugas1-3502581837.jpeg","Ketua DPRD Kabupaten Magelang Bertekad Tingkatkan Pembangunan"
"Mangunan, Jawa Timur, Indonesia",1,-7.8306,111.3790,"https://jogjapolitan.harianjogja.com/read/2024/12/06/510/1197152/kampung-dan-desa-wisata-didorong-untuk-menerapkan-pariwisata-berkelanjutan-untuk-menarik-wisatawan","","Kampung dan Desa Wisata Didorong untuk Menerapkan Pariwisata Berkelanjutan untuk Menarik Wisatawan"
"Nglanggeran, Indonesia (General), Indonesia",1,-7.8500,110.5170,"https://jogjapolitan.harianjogja.com/read/2024/12/06/510/1197152/kampung-dan-desa-wisata-didorong-untuk-menerapkan-pariwisata-berkelanjutan-untuk-menarik-wisatawan","","Kampung dan Desa Wisata Didorong untuk Menerapkan Pariwisata Berkelanjutan untuk Menarik Wisatawan"
"Prodi, Jawa Tengah, Indonesia",1,-7.9083,111.0670,"https://analisadaily.com/berita/baca/2024/12/06/1058287/uma-akan-wisuda-1498-lulusan-sabtu/","https://analisadaily.com/imagesfile/202412/20241206-132002_uma-akan-wisuda-1498-lulusan-sabtu.jpeg","UMA Akan Wisuda 1498 Lulusan , Sabtu"
"Bondowoso, Jawa Timur, Indonesia",1,-7.9159,113.8260,"https://www.antaranews.com/berita/4516426/tni-ad-sumbangkan-darah-untuk-kebutuhan-medis-masyarakat","https://cdn.antaranews.com/cache/1200x800/2024/12/06/IMG-20241206-WA0013-1.jpg","TNI AD sumbangkan darah untuk kebutuhan medis masyarakat"
"Ijen, Jawa Timur, Indonesia",1,-7.9654,112.6220,"https://www.antaranews.com/berita/4516426/tni-ad-sumbangkan-darah-untuk-kebutuhan-medis-masyarakat","https://cdn.antaranews.com/cache/1200x800/2024/12/06/IMG-20241206-WA0013-1.jpg","TNI AD sumbangkan darah untuk kebutuhan medis masyarakat"
"Kandri, Yogyakarta, Indonesia",1,-8.0272,110.5860,"https://jogjapolitan.harianjogja.com/read/2024/12/06/510/1197152/kampung-dan-desa-wisata-didorong-untuk-menerapkan-pariwisata-berkelanjutan-untuk-menarik-wisatawan","","Kampung dan Desa Wisata Didorong untuk Menerapkan Pariwisata Berkelanjutan untuk Menarik Wisatawan"
